Ticker,Price,Beta
SNX,124.2,1.221153
BYD,66.85,1.794295
HXL,57.21,1.458077
DKS,85.94,1.669389
GMED,71.12,0.93153
PSTG,20.91,1.416675
BXMT,32.87,1.553535
ROLL,201.38,1.384319
PK,21.92,1.945551
CIT,54.56,2.045997
UHAL,595.67,1.054484
AWI,99.6,1.249938
UFPI,81.4,1.399107
NVT,30.02,1.344413
AN,102.01,1.385622
ASH,92.67,1.288718
CROX,84.15,2.146664
NOV,13.29,1.156692
CR,95.33,1.446814
HFC,34.09,1.130879
FLO,24.3,0.443066
NTNX,26.66,1.433492
AL,47.24,1.79157
SABR,15.57,2.759057
JHG,33.83,1.215334
FEYE,20.28,1.150451
EQT,17.72,0.585467
ADS,107.07,1.994006
VMI,242.27,0.988742
SLG,71.25,1.444299
WSC,29.75,1.550175
SWAV,159.38,1.38237
M,16.92,1.542035
POWI,85.41,0.990215
APPN,129.46,1.245571
STL,24.82,1.69246
LOPE,111.18,0.979558
CRI,100.46,1.131363
SPR,46.17,2.180164
ALSN,43.79,1.130617
EVBG,138.8,0.728713
THG,134.52,1.071393
NOVT,138.05,1.143457
SSD,107.37,1.170293
ADNT,48.6,2.068613
TGTX,42.41,1.553996
CC,30,1.78844
FTDR,55.05,0.912596
CW,125.42,1.423337
QDEL,116.01,0.222886
CG,41.53,1.247631
SYNA,136.05,1.371639
HASI,56.62,1.653823
JCOM,125.03,0.94468
UBSI,39.67,1.116235
ACIW,40.37,1.268025
CLH,88.91,1.51654
HIW,43,1.448403
WTFC,77.18,1.33301
AVT,44.17,1.103069
OMF,54.58,1.798006
SIGI,76.77,0.962175
GPK,18.65,1.068766
HR,32.1,1.158976
OZK,41.22,1.006428
HE,42.74,0.816766
HHC,105.93,1.829384
TRIP,50.99,1.410973
TGNA,20.96,1.160201
SAIL,49.2,1.140256
NFG,51.38,0.80853
WBS,53.32,1.359921
IRDM,37.665,1.309488
NTLA,78.29,0.983342
POR,50.66,1.046568
AVNT,50.09,1.394401
JBT,138.06,1.362701
CAR,83.25,2.287269
UPWK,48.12,1.216086
CBRL,170.62,1.496633
RPD,83.93,1.100277
FNB,12.92,1.274617
MSTR,613.04,1.082669
PACW,42.7,1.581034
CDNA,78.96,1.242446
QRTEA,12.26,1.534213
BKH,69.56,1.202119
TRNO,63.35,1.000012
IOVA,31.28,1.074215
OGS,81.26,0.991652
GT,18.275,1.621111
WEN,22.6,1.426927
ICUI,211.85,0.808636
DNLI,56.79,1.047819
SHAK,110.31,1.33392
DOC,18.81,1.201226
UAA,23.03,1.411958
MTG,14.93,1.617653
SMTC,71.25,1.16563
LIVN,82.92,1.27664
IIPR,181.96,1.411994
BCPC,124.21,0.726273
REZI,30.34,1.808152
CACC,376.15,1.467185
ENSG,88.38,1.037377
ALRM,93.16,0.890492
WCC,90.53,1.757931
RLI,113.99,0.883781
HWC,45.2,1.679584
CDLX,129.85,1.831611
MRCY,76.41,0.970916
MGNI,38.31,1.792235
PRSP,29.31,1.074316
LGIH,167.15,1.718068
NRZ,10.43,1.773323
HPP,27.41,1.450795
AXS,54.69,1.008896
HOMB,28.05,1.242244
AEIS,116.42,1.746088
ESI,20.44,1.120769
RDN,24.69,1.435826
BHF,45.44,1.92693
BCO,77.22,1.375156
RHP,75.94,1.893588
ENS,92.96,1.367929
MSM,90.36,0.944273
DAN,27.7,1.995466
LBTYA,25.08,0.787788
